source_id,source_label,source_name,relationship,target_id,target_label,target_name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:863,Clause,SOLAS II-2/4.2.2.3.5.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:864,Clause,SOLAS II-2/4.2.2.3.5.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:865,Clause,SOLAS II-2/4.2.2.3.5.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:866,Clause,SOLAS II-2/4.2.2.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:867,Clause,SOLAS II-2/4.2.2.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:868,Clause,SOLAS II-2/4.2.2.5.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:869,Clause,SOLAS II-2/4.2.2.5.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:870,Clause,SOLAS II-2/4.2.2.5.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:871,Clause,SOLAS II-2/4.2.2.5.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:872,Clause,SOLAS II-2/4.2.2.5.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:873,Clause,SOLAS II-2/4.2.2.5.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:874,Clause,SOLAS II-2/4.2.2.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:875,Clause,SOLAS II-2/4.2.2.6.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:876,Clause,SOLAS II-2/4.2.2.6.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:877,Clause,SOLAS II-2/4.2.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:878,Clause,SOLAS II-2/4.2.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:879,Clause,SOLAS II-2/4.2.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:880,Clause,SOLAS II-2/4.2.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:881,Clause,SOLAS II-2/4.2.5
